"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Peña, Jeremy","665161","2024","536",17.4,3.9,".313",".320",31.5,5.6,38.5,"99.190694653","93.647648193",25,53.1
"Bohm, Alec","664761","2024","552",13.6,6.9,".347",".356",36,6.9,45.7,"100.788074398","94.817733434",17.2,49.4
"Witt Jr., Bobby","677951","2024","587",15.2,7.5,".423",".422",36.9,14.8,50.1,"104.334162411","96.751125257",22.4,51.2
"Alvarez, Yordan","670541","2024","531",14.9,11.1,".393",".408",33.7,13.8,47.8,"103.92318356","96.514749869",20.6,47.6
"Gurriel Jr., Lourdes","666971","2024","501",19,4.6,".318",".312",33.1,6.6,39.4,"99.370224444","93.803167989",20.1,51.3
"Castro, Willi","650489","2024","535",24.3,8.2,".328",".319",38.3,7.2,37.1,"98.971417471","93.558000973",29.5,51.1
"Perez, Salvador","521692","2024","533",19.5,6.9,".352",".374",41.4,13,44,"101.811446492","95.314686693",27.2,57.7
"Suzuki, Seiya","673548","2024","465",26.9,9,".360",".339",37.7,12,48.6,"102.559228219","95.754739555",24.4,40.2
"McMahon, Ryan","641857","2024","534",28.1,11.2,".325",".333",35.7,11.3,49.5,"102.993172911","96.284054698",30.3,46.8
"Soler, Jorge","624585","2024","466",24.9,12.7,".333",".343",33.9,11.2,40.9,"101.190240839","94.799567622",29.5,44.9
"Adell, Jo","666176","2024","420",28.1,7.4,".297",".319",31.2,11.8,44.9,"102.54623626","95.694140192",30.2,50.1
"Smith, Will","669257","2024","456",20.2,9.6,".322",".326",37.2,10.6,42,"99.360507244","94.01367254",20.6,46.4
"Judge, Aaron","592450","2024","586",23.4,18.4,".489",".486",40.8,27.2,59.8,"107.034494485","98.897356061",30.3,41.8
"Harper, Bryce","547180","2024","511",21.5,12.3,".376",".362",35.6,9.8,47.8,"102.703332381","95.720849164",27.4,51.9
"Young, Jacob","696285","2024","432",19.4,5.6,".290",".294",29.3,1.6,28,"96.478409789","92.296211237",19.2,45
"Ramírez, José","608070","2024","561",12.3,8.2,".362",".330",34.2,8.8,40.9,"99.850369596","94.136616607",15.7,48.8
"Steer, Spencer","668715","2024","537",20.5,11.4,".332",".326",35,6.7,40.6,"99.352748667","93.807484234",22.7,44.3
"Bell, Josh","605137","2024","539",18.9,8.2,".314",".312",31.6,7.6,38.6,"99.784942461","93.997020814",26.9,49.7
"Arozarena, Randy","668227","2024","527",25.6,11.6,".318",".330",29.4,8.3,42.8,"100.886727885","94.734249808",29.7,41.4
"Turang, Brice","668930","2024","502",17.3,8.2,".299",".302",32.8,3,31.7,"97.283172682","92.76062176",13,46.8
"Swanson, Dansby","621020","2024","472",25,9.3,".294",".328",34.1,9.1,42.5,"100.267245455","94.468464123",28.9,48.8
"Busch, Michael","683737","2024","468",30.1,11.3,".338",".321",37.9,11.8,39.3,"99.939207556","94.314937704",29.5,44.8
"De La Cruz, Bryan","650559","2024","544",27,5,".295",".317",35.8,10.1,42.3,"99.98983377","94.310970137",30,53.6
"Meyers, Jake","676694","2024","429",23.1,6.8,".296",".324",35.8,7.8,40.3,"100.188860423","94.228034754",27,49.7
"Cruz, Oneil","665833","2024","488",31.4,7.6,".340",".342",33.8,16.6,54.4,"106.972546395","98.363829966",33.9,46.1
"Happ, Ian","664023","2024","531",26.9,12.8,".347",".357",37.8,13.7,44.8,"101.760433248","95.379980287",27.9,45.1
"García, Luis","671277","2024","445",15.7,5.2,".337",".342",32.7,8,40.6,"100.156853757","94.229291792",20.8,51.2
